Country or Area,Item,Year,Value
Caribbean small states,Industry (including construction), value added (% of GDP),1989,29.1182839070274
Caribbean small states,Industry (including construction), value added (% of GDP),1990,30.7144701110017
Caribbean small states,Industry (including construction), value added (% of GDP),1991,30.9973592272626
Caribbean small states,Industry (including construction), value added (% of GDP),1992,30.6058189675968
Caribbean small states,Industry (including construction), value added (% of GDP),1993,25.2291255277101
Caribbean small states,Industry (including construction), value added (% of GDP),1994,26.813045516916
Caribbean small states,Industry (including construction), value added (% of GDP),1995,26.3353436613848
Caribbean small states,Industry (including construction), value added (% of GDP),1996,25.8651763496979
Caribbean small states,Industry (including construction), value added (% of GDP),1997,23.5707238023966
Caribbean small states,Industry (including construction), value added (% of GDP),1998,21.9484837030948
Caribbean small states,Industry (including construction), value added (% of GDP),1999,22.2248803873827
Caribbean small states,Industry (including construction), value added (% of GDP),2000,24.6919466808412
Caribbean small states,Industry (including construction), value added (% of GDP),2001,23.6782255839195
Caribbean small states,Industry (including construction), value added (% of GDP),2002,22.9958057326294
Caribbean small states,Industry (including construction), value added (% of GDP),2003,26.5422747056758
Caribbean small states,Industry (including construction), value added (% of GDP),2004,28.3935637504312
Caribbean small states,Industry (including construction), value added (% of GDP),2005,31.147246435016
Caribbean small states,Industry (including construction), value added (% of GDP),2006,32.5065817698439
Caribbean small states,Industry (including construction), value added (% of GDP),2007,32.5396490634361
Caribbean small states,Industry (including construction), value added (% of GDP),2008,36.4500457037945
Caribbean small states,Industry (including construction), value added (% of GDP),2009,29.0557038835524
Caribbean small states,Industry (including construction), value added (% of GDP),2010,30.2224635676718
Caribbean small states,Industry (including construction), value added (% of GDP),2011,32.349669766599
Caribbean small states,Industry (including construction), value added (% of GDP),2012,28.7696816639715
Caribbean small states,Industry (including construction), value added (% of GDP),2013,28.2779009685843
Caribbean small states,Industry (including construction), value added (% of GDP),2014,27.6892726389133
Caribbean small states,Industry (including construction), value added (% of GDP),2015,23.8545463931396
Caribbean small states,Industry (including construction), value added (% of GDP),2016,23.2794599822725
Caribbean small states,Industry (including construction), value added (% of GDP),2017,24.134268516013
Caribbean small states,Industry (including construction), value added (% of GDP),2018,24.9391231610287
Caribbean small states,Industry (including construction), value added (% of GDP),2019,23.6954748030242
Caribbean small states,Industry (including construction), value added (% of GDP),2020,23.5487054527898
Caribbean small states,Industry (including construction), value added (% of GDP),2021,28.0787883511432
Caribbean small states,Industry (including construction), value added (% of GDP),2022,34.9267264033326
Caribbean small states,Industry (including construction), value added (% of GDP),2023,
Cuba,Industry (including construction), value added (% of GDP),1960,
Cuba,Industry (including construction), value added (% of GDP),1961,
Cuba,Industry (including construction), value added (% of GDP),1962,
Cuba,Industry (including construction), value added (% of GDP),1963,
Cuba,Industry (including construction), value added (% of GDP),1964,
Cuba,Industry (including construction), value added (% of GDP),1965,
Cuba,Industry (including construction), value added (% of GDP),1966,
Cuba,Industry (including construction), value added (% of GDP),1967,
Cuba,Industry (including construction), value added (% of GDP),1968,
Cuba,Industry (including construction), value added (% of GDP),1969,
Cuba,Industry (including construction), value added (% of GDP),1970,16.9356265474692
Cuba,Industry (including construction), value added (% of GDP),1971,16.9379647156539
Cuba,Industry (including construction), value added (% of GDP),1972,16.9379385932213
Cuba,Industry (including construction), value added (% of GDP),1973,16.9351649354618
Cuba,Industry (including construction), value added (% of GDP),1974,16.9315499976745
Cuba,Industry (including construction), value added (% of GDP),1975,16.9355141813739
Cuba,Industry (including construction), value added (% of GDP),1976,16.9496542390024
Cuba,Industry (including construction), value added (% of GDP),1977,16.937808332356
Cuba,Industry (including construction), value added (% of GDP),1978,16.9213006257427
Cuba,Industry (including construction), value added (% of GDP),1979,16.9134733134146
Cuba,Industry (including construction), value added (% of GDP),1980,16.9553330988351
Cuba,Industry (including construction), value added (% of GDP),1981,17.0203551919095
Cuba,Industry (including construction), value added (% of GDP),1982,16.8785797771455
Cuba,Industry (including construction), value added (% of GDP),1983,16.8387606573559
Cuba,Industry (including construction), value added (% of GDP),1984,16.8743375655349
Cuba,Industry (including construction), value added (% of GDP),1985,17.1646340526686
Cuba,Industry (including construction), value added (% of GDP),1986,17.345464996672
Cuba,Industry (including construction), value added (% of GDP),1987,16.1697006157724
Cuba,Industry (including construction), value added (% of GDP),1988,16.6396658282791
Cuba,Industry (including construction), value added (% of GDP),1989,17.0522211065907
Cuba,Industry (including construction), value added (% of GDP),1990,17.3576044377831
Cuba,Industry (including construction), value added (% of GDP),1991,17.0174139483178
Cuba,Industry (including construction), value added (% of GDP),1992,16.8133092576771
Cuba,Industry (including construction), value added (% of GDP),1993,16.2936587936591
Cuba,Industry (including construction), value added (% of GDP),1994,16.91458906779
Cuba,Industry (including construction), value added (% of GDP),1995,17.9609323426812
Cuba,Industry (including construction), value added (% of GDP),1996,26.6854603298068
Cuba,Industry (including construction), value added (% of GDP),1997,27.5791427313418
Cuba,Industry (including construction), value added (% of GDP),1998,25.9190012288931
Cuba,Industry (including construction), value added (% of GDP),1999,25.39325828753
Cuba,Industry (including construction), value added (% of GDP),2000,25.535082151714
Cuba,Industry (including construction), value added (% of GDP),2001,24.8623841628159
Cuba,Industry (including construction), value added (% of GDP),2002,23.7013441300368
Cuba,Industry (including construction), value added (% of GDP),2003,22.5059329493165
Cuba,Industry (including construction), value added (% of GDP),2004,22.0396303955187
Cuba,Industry (including construction), value added (% of GDP),2005,21.5268299936084
Cuba,Industry (including construction), value added (% of GDP),2006,22.2047369498775
Cuba,Industry (including construction), value added (% of GDP),2007,22.5269990563768
Cuba,Industry (including construction), value added (% of GDP),2008,22.3864961360912
Cuba,Industry (including construction), value added (% of GDP),2009,22.6047036082474
Cuba,Industry (including construction), value added (% of GDP),2010,22.8936077602288
Cuba,Industry (including construction), value added (% of GDP),2011,22.258298304102
Cuba,Industry (including construction), value added (% of GDP),2012,23.3671948701822
Cuba,Industry (including construction), value added (% of GDP),2013,23.150308497952
Cuba,Industry (including construction), value added (% of GDP),2014,22.1520752925073
Cuba,Industry (including construction), value added (% of GDP),2015,22.3538093576701
Cuba,Industry (including construction), value added (% of GDP),2016,22.9428012239707
Cuba,Industry (including construction), value added (% of GDP),2017,24.3566251406905
Cuba,Industry (including construction), value added (% of GDP),2018,24.8779064616327
Cuba,Industry (including construction), value added (% of GDP),2019,24.5495399680549
Cuba,Industry (including construction), value added (% of GDP),2020,23.0178720803936
Cuba,Industry (including construction), value added (% of GDP),2021,23.3474359517543
Cuba,Industry (including construction), value added (% of GDP),2022,23.7700418806891
Cuba,Industry (including construction), value added (% of GDP),2023,
Curacao,Industry (including construction), value added (% of GDP),1960,
Curacao,Industry (including construction), value added (% of GDP),1961,
Curacao,Industry (including construction), value added (% of GDP),1962,
Curacao,Industry (including construction), value added (% of GDP),1963,
Curacao,Industry (including construction), value added (% of GDP),1964,
Curacao,Industry (including construction), value added (% of GDP),1965,
Curacao,Industry (including construction), value added (% of GDP),1966,
Curacao,Industry (including construction), value added (% of GDP),1967,
Curacao,Industry (including construction), value added (% of GDP),1968,
Curacao,Industry (including construction), value added (% of GDP),1969,
Curacao,Industry (including construction), value added (% of GDP),1970,
Curacao,Industry (including construction), value added (% of GDP),1971,
Curacao,Industry (including construction), value added (% of GDP),1972,
Curacao,Industry (including construction), value added (% of GDP),1973,
Curacao,Industry (including construction), value added (% of GDP),1974,
Curacao,Industry (including construction), value added (% of GDP),1975,
Curacao,Industry (including construction), value added (% of GDP),1976,
Curacao,Industry (including construction), value added (% of GDP),1977,
Curacao,Industry (including construction), value added (% of GDP),1978,
Curacao,Industry (including construction), value added (% of GDP),1979,
Curacao,Industry (including construction), value added (% of GDP),1980,
Curacao,Industry (including construction), value added (% of GDP),1981,
Curacao,Industry (including construction), value added (% of GDP),1982,
Curacao,Industry (including construction), value added (% of GDP),1983,
Curacao,Industry (including construction), value added (% of GDP),1984,
Curacao,Industry (including construction), value added (% of GDP),1985,
Curacao,Industry (including construction), value added (% of GDP),1986,
Curacao,Industry (including construction), value added (% of GDP),1987,
Curacao,Industry (including construction), value added (% of GDP),1988,
Curacao,Industry (including construction), value added (% of GDP),1989,
Curacao,Industry (including construction), value added (% of GDP),1990,
Curacao,Industry (including construction), value added (% of GDP),1991,
Curacao,Industry (including construction), value added (% of GDP),1992,
Curacao,Industry (including construction), value added (% of GDP),1993,
Curacao,Industry (including construction), value added (% of GDP),1994,
Curacao,Industry (including construction), value added (% of GDP),1995,
Curacao,Industry (including construction), value added (% of GDP),1996,
Curacao,Industry (including construction), value added (% of GDP),1997,
Curacao,Industry (including construction), value added (% of GDP),1998,
Curacao,Industry (including construction), value added (% of GDP),1999,
Curacao,Industry (including construction), value added (% of GDP),2000,14.7899219306528
Curacao,Industry (including construction), value added (% of GDP),2001,17.4657123656503
Curacao,Industry (including construction), value added (% of GDP),2002,16.5039464506558
Curacao,Industry (including construction), value added (% of GDP),2003,15.483181105965
Curacao,Industry (including construction), value added (% of GDP),2004,15.02736671908
Curacao,Industry (including construction), value added (% of GDP),2005,15.4098404091381
Curacao,Industry (including construction), value added (% of GDP),2006,16.0921965506674
Curacao,Industry (including construction), value added (% of GDP),2007,16.3959922621749
Curacao,Industry (including construction), value added (% of GDP),2008,15.2140225018826
Curacao,Industry (including construction), value added (% of GDP),2009,16.9450402530542
Curacao,Industry (including construction), value added (% of GDP),2010,15.0197289233141
Curacao,Industry (including construction), value added (% of GDP),2011,13.6386620146608
Curacao,Industry (including construction), value added (% of GDP),2012,13.7863246725506
Curacao,Industry (including construction), value added (% of GDP),2013,15.3389624484324
Curacao,Industry (including construction), value added (% of GDP),2014,16.3585494364432
Curacao,Industry (including construction), value added (% of GDP),2015,16.5035976098599
Curacao,Industry (including construction), value added (% of GDP),2016,17.1537622222003
Curacao,Industry (including construction), value added (% of GDP),2017,15.4098974290629
Curacao,Industry (including construction), value added (% of GDP),2018,14.4127503636018
Curacao,Industry (including construction), value added (% of GDP),2019,13.2746383749834
Curacao,Industry (including construction), value added (% of GDP),2020,11.9846938667569
Curacao,Industry (including construction), value added (% of GDP),2021,11.436769306643
Curacao,Industry (including construction), value added (% of GDP),2022,11.1890586123849
Curacao,Industry (including construction), value added (% of GDP),2023,
Cayman Islands,Industry (including construction), value added (% of GDP),1960,
Cayman Islands,Industry (including construction), value added (% of GDP),1961,
Cayman Islands,Industry (including construction), value added (% of GDP),1962,
Cayman Islands,Industry (including construction), value added (% of GDP),1963,
Cayman Islands,Industry (including construction), value added (% of GDP),1964,
Cayman Islands,Industry (including construction), value added (% of GDP),1965,
Cayman Islands,Industry (including construction), value added (% of GDP),1966,
Cayman Islands,Industry (including construction), value added (% of GDP),1967,
Cayman Islands,Industry (including construction), value added (% of GDP),1968,
Cayman Islands,Industry (including construction), value added (% of GDP),1969,
Cayman Islands,Industry (including construction), value added (% of GDP),1970,
Cayman Islands,Industry (including construction), value added (% of GDP),1971,
Cayman Islands,Industry (including construction), value added (% of GDP),1972,
Cayman Islands,Industry (including construction), value added (% of GDP),1973,
Cayman Islands,Industry (including construction), value added (% of GDP),1974,
Cayman Islands,Industry (including construction), value added (% of GDP),1975,
Cayman Islands,Industry (including construction), value added (% of GDP),1976,
Cayman Islands,Industry (including construction), value added (% of GDP),1977,
Cayman Islands,Industry (including construction), value added (% of GDP),1978,
Cayman Islands,Industry (including construction), value added (% of GDP),1979,
Cayman Islands,Industry (including construction), value added (% of GDP),1980,
Cayman Islands,Industry (including construction), value added (% of GDP),1981,
Cayman Islands,Industry (including construction), value added (% of GDP),1982,
Cayman Islands,Industry (including construction), value added (% of GDP),1983,
Cayman Islands,Industry (including construction), value added (% of GDP),1984,
Cayman Islands,Industry (including construction), value added (% of GDP),1985,
Cayman Islands,Industry (including construction), value added (% of GDP),1986,
Cayman Islands,Industry (including construction), value added (% of GDP),1987,
Cayman Islands,Industry (including construction), value added (% of GDP),1988,
Cayman Islands,Industry (including construction), value added (% of GDP),1989,
Cayman Islands,Industry (including construction), value added (% of GDP),1990,
Cayman Islands,Industry (including construction), value added (% of GDP),1991,
Cayman Islands,Industry (including construction), value added (% of GDP),1992,
Cayman Islands,Industry (including construction), value added (% of GDP),1993,
Cayman Islands,Industry (including construction), value added (% of GDP),1994,
Cayman Islands,Industry (including construction), value added (% of GDP),1995,
Cayman Islands,Industry (including construction), value added (% of GDP),1996,
Cayman Islands,Industry (including construction), value added (% of GDP),1997,
Cayman Islands,Industry (including construction), value added (% of GDP),1998,
Cayman Islands,Industry (including construction), value added (% of GDP),1999,
Cayman Islands,Industry (including construction), value added (% of GDP),2000,
Cayman Islands,Industry (including construction), value added (% of GDP),2001,
Cayman Islands,Industry (including construction), value added (% of GDP),2002,
Cayman Islands,Industry (including construction), value added (% of GDP),2003,
Cayman Islands,Industry (including construction), value added (% of GDP),2004,
Cayman Islands,Industry (including construction), value added (% of GDP),2005,
Cayman Islands,Industry (including construction), value added (% of GDP),2006,9.82859336348034
Cayman Islands,Industry (including construction), value added (% of GDP),2007,9.65080180505381
Cayman Islands,Industry (including construction), value added (% of GDP),2008,9.08453243344707
Cayman Islands,Industry (including construction), value added (% of GDP),2009,7.90355892124877
Cayman Islands,Industry (including construction), value added (% of GDP),2010,7.06530769853434
Cayman Islands,Industry (including construction), value added (% of GDP),2011,6.81332537051651
Cayman Islands,Industry (including construction), value added (% of GDP),2012,6.85794609285449
Cayman Islands,Industry (including construction), value added (% of GDP),2013,6.92395060087452
Cayman Islands,Industry (including construction), value added (% of GDP),2014,6.89618044864104
Cayman Islands,Industry (including construction), value added (% of GDP),2015,7.00603829734849
Cayman Islands,Industry (including construction), value added (% of GDP),2016,7.28391279038289
Cayman Islands,Industry (including construction), value added (% of GDP),2017,7.19381823523329
Cayman Islands,Industry (including construction), value added (% of GDP),2018,7.41439077440039
Cayman Islands,Industry (including construction), value added (% of GDP),2019,7.70795357512228
Cayman Islands,Industry (including construction), value added (% of GDP),2020,8.14804583593462
Cayman Islands,Industry (including construction), value added (% of GDP),2021,8.53315171147844
Cayman Islands,Industry (including construction), value added (% of GDP),2022,
Cayman Islands,Industry (including construction), value added (% of GDP),2023,
Cyprus,Industry (including construction), value added (% of GDP),1960,
Cyprus,Industry (including construction), value added (% of GDP),1961,
Cyprus,Industry (including construction), value added (% of GDP),1962,
Cyprus,Industry (including construction), value added (% of GDP),1963,
Cyprus,Industry (including construction), value added (% of GDP),1964,
Cyprus,Industry (including construction), value added (% of GDP),1965,
Cyprus,Industry (including construction), value added (% of GDP),1966,
Cyprus,Industry (including construction), value added (% of GDP),1967,
Cyprus,Industry (including construction), value added (% of GDP),1968,
Cyprus,Industry (including construction), value added (% of GDP),1969,
Cyprus,Industry (including construction), value added (% of GDP),1970,
Cyprus,Industry (including construction), value added (% of GDP),1971,
Cyprus,Industry (including construction), value added (% of GDP),1972,
Cyprus,Industry (including construction), value added (% of GDP),1973,
Cyprus,Industry (including construction), value added (% of GDP),1974,
Cyprus,Industry (including construction), value added (% of GDP),1975,25.1750925621017
Cyprus,Industry (including construction), value added (% of GDP),1976,28.8409681298225
Cyprus,Industry (including construction), value added (% of GDP),1977,30.9855745388806
Cyprus,Industry (including construction), value added (% of GDP),1978,33.1293174792057
Cyprus,Industry (including construction), value added (% of GDP),1979,33.216891873557
Cyprus,Industry (including construction), value added (% of GDP),1980,33.6446095942288
Cyprus,Industry (including construction), value added (% of GDP),1981,32.4086717026509
Cyprus,Industry (including construction), value added (% of GDP),1982,30.8615457218406
Cyprus,Industry (including construction), value added (% of GDP),1983,30.0870939388177
Cyprus,Industry (including construction), value added (% of GDP),1984,29.0264684834083
Cyprus,Industry (including construction), value added (% of GDP),1985,28.4914304866532
Cyprus,Industry (including construction), value added (% of GDP),1986,27.5907322779951
Cyprus,Industry (including construction), value added (% of GDP),1987,27.4969110538016
Cyprus,Industry (including construction), value added (% of GDP),1988,27.5013762398585
Cyprus,Industry (including construction), value added (% of GDP),1989,26.5762746130667
Cyprus,Industry (including construction), value added (% of GDP),1990,25.9263603612884
Cyprus,Industry (including construction), value added (% of GDP),1991,26.7394483448488
Cyprus,Industry (including construction), value added (% of GDP),1992,25.5599600378707
Cyprus,Industry (including construction), value added (% of GDP),1993,24.6801238163625
Cyprus,Industry (including construction), value added (% of GDP),1994,23.2256832857901
Cyprus,Industry (including construction), value added (% of GDP),1995,20.0590181800375
Cyprus,Industry (including construction), value added (% of GDP),1996,20.1416279392979
Cyprus,Industry (including construction), value added (% of GDP),1997,19.6543068276503
Cyprus,Industry (including construction), value added (% of GDP),1998,19.2367627551139
Cyprus,Industry (including construction), value added (% of GDP),1999,18.4881644373395
Cyprus,Industry (including construction), value added (% of GDP),2000,17.6860345478675
Cyprus,Industry (including construction), value added (% of GDP),2001,17.3938334000036
Cyprus,Industry (including construction), value added (% of GDP),2002,17.9301622113327
Cyprus,Industry (including construction), value added (% of GDP),2003,18.0129554121324
Cyprus,Industry (including construction), value added (% of GDP),2004,18.067459164481
Cyprus,Industry (including construction), value added (% of GDP),2005,17.8911230141923
Cyprus,Industry (including construction), value added (% of GDP),2006,17.8301299411038
Cyprus,Industry (including construction), value added (% of GDP),2007,18.1971026142189
Cyprus,Industry (including construction), value added (% of GDP),2008,17.8965853841243
Cyprus,Industry (including construction), value added (% of GDP),2009,15.9544596761114
Cyprus,Industry (including construction), value added (% of GDP),2010,14.4957587269308
Cyprus,Industry (including construction), value added (% of GDP),2011,12.7616461579395
Cyprus,Industry (including construction), value added (% of GDP),2012,11.7729347957646
Cyprus,Industry (including construction), value added (% of GDP),2013,10.7602642449969
Cyprus,Industry (including construction), value added (% of GDP),2014,9.98470409997934
Cyprus,Industry (including construction), value added (% of GDP),2015,10.2023047581355
Cyprus,Industry (including construction), value added (% of GDP),2016,10.8610918288752
Cyprus,Industry (including construction), value added (% of GDP),2017,11.3573240000549
Cyprus,Industry (including construction), value added (% of GDP),2018,12.1825011504864
Cyprus,Industry (including construction), value added (% of GDP),2019,12.9529274427744
Cyprus,Industry (including construction), value added (% of GDP),2020,13.0444089859872
Cyprus,Industry (including construction), value added (% of GDP),2021,11.9130659432926
Cyprus,Industry (including construction), value added (% of GDP),2022,12.1094862656154
Cyprus,Industry (including construction), value added (% of GDP),2023,
Czechia,Industry (including construction), value added (% of GDP),1960,
Czechia,Industry (including construction), value added (% of GDP),1961,
Czechia,Industry (including construction), value added (% of GDP),1962,
Czechia,Industry (including construction), value added (% of GDP),1963,
Czechia,Industry (including construction), value added (% of GDP),1964,
Czechia,Industry (including construction), value added (% of GDP),1965,
Czechia,Industry (including construction), value added (% of GDP),1966,
Czechia,Industry (including construction), value added (% of GDP),1967,
Czechia,Industry (including construction), value added (% of GDP),1968,
Czechia,Industry (including construction), value added (% of GDP),1969,
Czechia,Industry (including construction), value added (% of GDP),1970,
Czechia,Industry (including construction), value added (% of GDP),1971,
Czechia,Industry (including construction), value added (% of GDP),1972,
Czechia,Industry (including construction), value added (% of GDP),1973,
Czechia,Industry (including construction), value added (% of GDP),1974,
Czechia,Industry (including construction), value added (% of GDP),1975,
Czechia,Industry (including construction), value added (% of GDP),1976,
Czechia,Industry (including construction), value added (% of GDP),1977,
Czechia,Industry (including construction), value added (% of GDP),1978,
Czechia,Industry (including construction), value added (% of GDP),1979,
Czechia,Industry (including construction), value added (% of GDP),1980,
Czechia,Industry (including construction), value added (% of GDP),1981,
Czechia,Industry (including construction), value added (% of GDP),1982,
Czechia,Industry (including construction), value added (% of GDP),1983,
Czechia,Industry (including construction), value added (% of GDP),1984,
Czechia,Industry (including construction), value added (% of GDP),1985,
Czechia,Industry (including construction), value added (% of GDP),1986,
Czechia,Industry (including construction), value added (% of GDP),1987,
Czechia,Industry (including construction), value added (% of GDP),1988,
Czechia,Industry (including construction), value added (% of GDP),1989,
Czechia,Industry (including construction), value added (% of GDP),1990,
Czechia,Industry (including construction), value added (% of GDP),1991,
Czechia,Industry (including construction), value added (% of GDP),1992,
Czechia,Industry (including construction), value added (% of GDP),1993,34.8681258060843
Czechia,Industry (including construction), value added (% of GDP),1994,34.8189828654071
Czechia,Industry (including construction), value added (% of GDP),1995,35.3855087934268
Czechia,Industry (including construction), value added (% of GDP),1996,36.1451519881044
Czechia,Industry (including construction), value added (% of GDP),1997,35.6996667721956
Czechia,Industry (including construction), value added (% of GDP),1998,34.7892817663162
Czechia,Industry (including construction), value added (% of GDP),1999,33.7711824723045
Czechia,Industry (including construction), value added (% of GDP),2000,33.4912074773843
Czechia,Industry (including construction), value added (% of GDP),2001,33.9092002484563
Czechia,Industry (including construction), value added (% of GDP),2002,33.2092893969562
Czechia,Industry (including construction), value added (% of GDP),2003,32.3422533834469
Czechia,Industry (including construction), value added (% of GDP),2004,33.5797495913721
Czechia,Industry (including construction), value added (% of GDP),2005,33.6171981929638
Czechia,Industry (including construction), value added (% of GDP),2006,34.3332159877379
Czechia,Industry (including construction), value added (% of GDP),2007,34.1827366160621
Czechia,Industry (including construction), value added (% of GDP),2008,33.6576334575029
Czechia,Industry (including construction), value added (% of GDP),2009,32.9876944708572
Czechia,Industry (including construction), value added (% of GDP),2010,33.1707518651997
Czechia,Industry (including construction), value added (% of GDP),2011,33.6505738219241
Czechia,Industry (including construction), value added (% of GDP),2012,32.9223275042358
Czechia,Industry (including construction), value added (% of GDP),2013,32.6460705062336
Czechia,Industry (including construction), value added (% of GDP),2014,33.8393507611777
Czechia,Industry (including construction), value added (% of GDP),2015,33.7818228045362
Czechia,Industry (including construction), value added (% of GDP),2016,33.4093272846707
Czechia,Industry (including construction), value added (% of GDP),2017,32.7082970127827
Czechia,Industry (including construction), value added (% of GDP),2018,31.7708544140094
Czechia,Industry (including construction), value added (% of GDP),2019,31.5302362186778
Czechia,Industry (including construction), value added (% of GDP),2020,30.6869294118492
Czechia,Industry (including construction), value added (% of GDP),2021,30.2656842672528
Czechia,Industry (including construction), value added (% of GDP),2022,29.6113952762607
Czechia,Industry (including construction), value added (% of GDP),2023,
Germany,Industry (including construction), value added (% of GDP),1960,
Germany,Industry (including construction), value added (% of GDP),1961,
Germany,Industry (including construction), value added (% of GDP),1962,
Germany,Industry (including construction), value added (% of GDP),1963,
Germany,Industry (including construction), value added (% of GDP),1964,
Germany,Industry (including construction), value added (% of GDP),1965,
Germany,Industry (including construction), value added (% of GDP),1966,
Germany,Industry (including construction), value added (% of GDP),1967,
Germany,Industry (including construction), value added (% of GDP),1968,
Germany,Industry (including construction), value added (% of GDP),1969,
Germany,Industry (including construction), value added (% of GDP),1970,
Germany,Industry (including construction), value added (% of GDP),1971,
Germany,Industry (including construction), value added (% of GDP),1972,
Germany,Industry (including construction), value added (% of GDP),1973,
Germany,Industry (including construction), value added (% of GDP),1974,
Germany,Industry (including construction), value added (% of GDP),1975,
Germany,Industry (including construction), value added (% of GDP),1976,
Germany,Industry (including construction), value added (% of GDP),1977,
Germany,Industry (including construction), value added (% of GDP),1978,
Germany,Industry (including construction), value added (% of GDP),1979,
Germany,Industry (including construction), value added (% of GDP),1980,
Germany,Industry (including construction), value added (% of GDP),1981,
Germany,Industry (including construction), value added (% of GDP),1982,
Germany,Industry (including construction), value added (% of GDP),1983,
Germany,Industry (including construction), value added (% of GDP),1984,
Germany,Industry (including construction), value added (% of GDP),1985,
Germany,Industry (including construction), value added (% of GDP),1986,
Germany,Industry (including construction), value added (% of GDP),1987,
Germany,Industry (including construction), value added (% of GDP),1988,
Germany,Industry (including construction), value added (% of GDP),1989,
Germany,Industry (including construction), value added (% of GDP),1990,
Germany,Industry (including construction), value added (% of GDP),1991,33.5241518476479
Germany,Industry (including construction), value added (% of GDP),1992,32.5158925067271
Germany,Industry (including construction), value added (% of GDP),1993,30.6064915557231
Germany,Industry (including construction), value added (% of GDP),1994,30.1969883304638
Germany,Industry (including construction), value added (% of GDP),1995,29.7680789186165
Germany,Industry (including construction), value added (% of GDP),1996,28.8559264695167
Germany,Industry (including construction), value added (% of GDP),1997,28.5781301787217
Germany,Industry (including construction), value added (% of GDP),1998,28.3844977710706
Germany,Industry (including construction), value added (% of GDP),1999,27.6544079087925
Germany,Industry (including construction), value added (% of GDP),2000,27.712378324301
Germany,Industry (including construction), value added (% of GDP),2001,27.0691909009731
Germany,Industry (including construction), value added (% of GDP),2002,26.3787236365621
Germany,Industry (including construction), value added (% of GDP),2003,26.1867813363357
Germany,Industry (including construction), value added (% of GDP),2004,26.4048494598943
Germany,Industry (including construction), value added (% of GDP),2005,26.3532912935747
Germany,Industry (including construction), value added (% of GDP),2006,26.9743991815788
Germany,Industry (including construction), value added (% of GDP),2007,27.2365025704627
Germany,Industry (including construction), value added (% of GDP),2008,26.8486819111797
Germany,Industry (including construction), value added (% of GDP),2009,24.7358048517212
Germany,Industry (including construction), value added (% of GDP),2010,26.8488925284667
Germany,Industry (including construction), value added (% of GDP),2011,27.0689719182049
Germany,Industry (including construction), value added (% of GDP),2012,27.2839861436413
Germany,Industry (including construction), value added (% of GDP),2013,26.7826133352304
Germany,Industry (including construction), value added (% of GDP),2014,27.0109959930724
Germany,Industry (including construction), value added (% of GDP),2015,27.1097885783397
Germany,Industry (including construction), value added (% of GDP),2016,27.5685064790062
Germany,Industry (including construction), value added (% of GDP),2017,27.462322016675
Germany,Industry (including construction), value added (% of GDP),2018,27.3062740495328
Germany,Industry (including construction), value added (% of GDP),2019,26.9911142709931
Germany,Industry (including construction), value added (% of GDP),2020,26.707376907099
Germany,Industry (including construction), value added (% of GDP),2021,27.0340986053712
Germany,Industry (including construction), value added (% of GDP),2022,26.9021953616504
Germany,Industry (including construction), value added (% of GDP),2023,
Djibouti,Industry (including construction), value added (% of GDP),1960,
Djibouti,Industry (including construction), value added (% of GDP),1961,
Djibouti,Industry (including construction), value added (% of GDP),1962,
Djibouti,Industry (including construction), value added (% of GDP),1963,
Djibouti,Industry (including construction), value added (% of GDP),1964,
Djibouti,Industry (including construction), value added (% of GDP),1965,
Djibouti,Industry (including construction), value added (% of GDP),1966,
Djibouti,Industry (including construction), value added (% of GDP),1967,
Djibouti,Industry (including construction), value added (% of GDP),1968,
Djibouti,Industry (including construction), value added (% of GDP),1969,
Djibouti,Industry (including construction), value added (% of GDP),1970,
Djibouti,Industry (including construction), value added (% of GDP),1971,
Djibouti,Industry (including construction), value added (% of GDP),1972,
Djibouti,Industry (including construction), value added (% of GDP),1973,
Djibouti,Industry (including construction), value added (% of GDP),1974,
Djibouti,Industry (including construction), value added (% of GDP),1975,
Djibouti,Industry (including construction), value added (% of GDP),1976,
Djibouti,Industry (including construction), value added (% of GDP),1977,
Djibouti,Industry (including construction), value added (% of GDP),1978,
Djibouti,Industry (including construction), value added (% of GDP),1979,
Djibouti,Industry (including construction), value added (% of GDP),1980,
Djibouti,Industry (including construction), value added (% of GDP),1981,
Djibouti,Industry (including construction), value added (% of GDP),1982,
Djibouti,Industry (including construction), value added (% of GDP),1983,
Djibouti,Industry (including construction), value added (% of GDP),1984,
Djibouti,Industry (including construction), value added (% of GDP),1985,
Djibouti,Industry (including construction), value added (% of GDP),1986,
Djibouti,Industry (including construction), value added (% of GDP),1987,
Djibouti,Industry (including construction), value added (% of GDP),1988,
Djibouti,Industry (including construction), value added (% of GDP),1989,
Djibouti,Industry (including construction), value added (% of GDP),1990,
Djibouti,Industry (including construction), value added (% of GDP),1991,
Djibouti,Industry (including construction), value added (% of GDP),1992,
Djibouti,Industry (including construction), value added (% of GDP),1993,
Djibouti,Industry (including construction), value added (% of GDP),1994,
Djibouti,Industry (including construction), value added (% of GDP),1995,
Djibouti,Industry (including construction), value added (% of GDP),1996,
Djibouti,Industry (including construction), value added (% of GDP),1997,
Djibouti,Industry (including construction), value added (% of GDP),1998,
Djibouti,Industry (including construction), value added (% of GDP),1999,
Djibouti,Industry (including construction), value added (% of GDP),2000,
Djibouti,Industry (including construction), value added (% of GDP),2001,
Djibouti,Industry (including construction), value added (% of GDP),2002,
